Product Name,Year,Market Value ($M),Profit per Product ($),Ingredients,Likely Skin Cancer Type,Fertility Rate Reduction (%),SUNSCREEN_ID
EcoShield 100+,Post-1990,4633,33.12,"Avobenzone 3.0% , Homosalate 10.0% , Octisalate 4.5%Alcohol Denat. , Octyldodecyl Neopentanoate , Butyloctyl Salicylate , Polyester-8 , Acrylates/Octylacrylamide Copolymer , Ethylhexyl Methoxycrylene , Dimethicone , Trimethylsiloxysilicate , Tocopheryl Acetate , Ethylcellulose",BCC,5,68
SolarCare 30+,Post-1990,3475,29.88,"Water, Cyclopentasiloxane, Glycerin, Polyester-7, Neopentyl Glycol Diheptanoate, Lauryl Glucoside, Polyglyceryl-2 Dipolyhydroxystearate, Fragrance, Argania Spinosa (Argan) Kernel Oil, Cocos Nucifera (Coconut) Oil, Tocopheryl Acetate, Trilinolein, Triolein, Tripalmitin, Trilinolenin, Gardenia Tahitensis Flower Extract, Tristearin, Triarachidin, Tocopherol, C50-45 Alkyl Cetearyl Dimethicone Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polybutene, Xanthan Gum, Bht, Citric Acid, Potassium Sorbate, Methylisothiazolinone.",Low Risk,0,69
RayBlock 60+,Post-1990,1595,16.48,"Alcohol (Organic), Algae Extract (Organic), Aloe Barbadensis Leaf Juice (Organic), Cucumis Sativus (Organic Cucumber) Fruit Extract, Flavor, Fragaria Vesca (Organic Strawberry) Fruit Extract, Glycerin, Hydrogenated Methyl Abietate, Rubus Idaeus (Organic Red Raspberry) Seed Oil.",Low Risk,0,70
TotalSun SPF 100,Post-1990,256,7.72,"Water, Butyloctyl Salicylate, Polysilicone-11, Dimethiconol Behenate, Tribehenin Peg-20 Esters, Polymethylsilsesquioxane, Glycerin, Hdi/Trimethylol Hexyllactone Crosspolymer, Cetearyl Alcohol, Cetearyl Glucoside, Magnesium Aluminum Silicate, Dimethicone, Sodium Lauryl Glucose Carboxylate, Hydroxyacetophenone, Lauryl Glucoside, Cetearyl Isononanoate, Tocopheryl Acetate, Xanthan Gum, Caprylyl Glycol, 1,2-Hexanediol, Ceteareth-20, Bht, Disodium Edta, Glyceryl Stearate, Ethylhexylglycerin, Laureth-12, Ceteareth-12, Cetyl Palmitate, Sodium Hyaluronate, Hydrolyzed Eruca Sativa Leaf, Citric Acid, Sodium Benzoate, Potassium Sorbate, Benzyl Salicylate, Citronellol, Limonene, Alpha Isomethyl Ionone, Hexyl Cinnamal, Butylphenyl Met Hylpropional, Linalool, Fragrance.",Low Risk,0,71
EcoShield 30+,Post-1990,1466,34.26,"Phyllostachis Bambusoides Juice, Cyclopentasiloxane, Zinc Oxide (Ci 77947), Ethylhexyl Methoxycinnamate, Cyclohexasiloxane, Titanium Dioxide (Ci 77891), Peg-10 Dimethicone, Phenyl Trimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Alcohol, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Polyhydroxystearic Acid, Disteardimonium Hectorite, Sodium Chloride, Aluminum Hydroxide, Stearic Acid, Ethylhexyl Palmitate, Lecithin, Isostearic Acid, Isopropyl Palmitate, Triethoxycaprylylsilane, Caprylyl Glycol, Polyglyceryl-3 Polyricinoleate, Phenoxyethanol, Ethylhexylglycerin, Disodium Edta, Polymethyl Methacrylate, Portulaca Oleracea Extract, Prunus Mume Fruit Extract, Iron Oxides (Ci 77492), Iron Oxides (Ci 77491), Iron Oxides (Ci 77499), Fragrance.",None (Protective),0,72
SunArmor SPF 60,Post-1990,1351,29.18,"Alcohol*, Algae Extract*, Aloe Barbadensis Leaf Extract*, Butyloctyl Salicylate, Cucumis Sativus (Cucumber) Fruit Extract*, Flavor, Fragaria Vesca (Strawberry) Fruit Extract*, Glycerin*, VA/Butyl Maleate/Isobornyl Acrylate Copolymer, Water. *Certified Organic.",Low Risk,0,73
AquaBlock 75,Post-1990,4533,24.87,"Dimethicone, Caprylic/CapricTriglyceride, Dimethicone Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Butyloctyl Salicylate, Glyceryl Isostearate, Polyester-8, Polysilicone-15, Behenic Acid, Camelia Sinensis Leaf Extract, Caprooyl Phytosphingosine, Ceramide AP, Ceramide EOP, Ceramide EOS, Ceramide NP, Ceramide NS, Ceteareth-25, Cetyl Alcohol, Cholesterol, Glycerin, Iron Oxides, PEG/PPG-18/18 Dimethicone, Punica Granatum Extract, Silica, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Triethoxycaprylysilane, Vaccinum Macrocarpon (Cranberry) Fruit Extract.",Low Risk,0,74
AquaBlock 30,Post-1990,2618,42.43,"Water, Helianthus Annuus (Sunflower) Seed Oil*, Aloe Barbadensis (Aloe Vera) Leaf Juice*, Cetearyl Alcohol, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Glucoside, Saccharomyces/Agave Americana Leaf Ferment Filtrate*, Cetyl Palmitate, Lavandula Angustifolia (Lavender) Flower Oil*, Citrus Sinensis (Sweet Orange) Peel Oil, Citrus Reticulata (Mandarin Red) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Cedrus Atlantica (Cedar) Wood Oil, Xanthan Gum, Rosmarinus Officinalis (Rosemary) Leaf Extract*, Dehydroacetic Acid, Benzyl Alcohol. *Certified Organic.",Low Risk,0,75
SunArmor SPF 75,Post-1990,385,7.03,"This ingredient list is subject to change, it is the most up-to-date ingredient list and may differ from product packaging.",Low Risk,0,76
UltraShield SPF 60,Post-1990,1083,28.42,Visit the Eve Lom boutique,Low Risk,0,77
RayBlock 45+,Post-1990,3714,33.02,"Aluminum Hydroxide, Butyloctyl Salicylate, C12-15 Alkyl Benzoate, Caprylyl Methicone, Copernicia Cerifera (Carnauba) Wax, Dimethicone, Ethylhexylglycerin, Hydrogenated Polydecene, Iron Oxides, Isononyl Isononanoate, Isopropyl Myristate, Isopropyl Titanium Triisostearate, Isostearic Acid, Kaolin, Methyl Methacrylate Crosspolymer, Microcrystalline Wax, Phenoxyethanol, Polyethylene, Polyhydroxystearic Acid, Polymethyl Methacrylate, Propylene Carbonate, Stearalkonium Hectorite, Tocopherol.",Low Risk,0,78
UltraShield SPF 100,Post-1990,2704,6.03,"Octocrylene 9%, Octinoxate 7.5%, Titanium Dioxide 3.24%, Ensulizole 3%. Inactive Ingredients: Water, Cyclomethicone, Isohexadecane- Butylene Glycol, Cyclopentasiloxane -Tromethamine, VP/Eicosene Copolymer, C14-22 Alcohols, Potassium Cetyl Phosphate, Aluminum Starch Octenylsuccinate, Aloe Barbadensis Leaf Juice, Mannitol, Sodium Polyacrylate, Diphenyl Dimethicone, Fragrance, C12-20 Alkyl Glucoside, Aluminum Hydroxide, Stearic Acid, Glycerin, Tocopheryl Acetate, Disodium EDTA, Xanthan Gum, Cyclodextrin, Pisum Sativum (Pea) Extract, Cassia Alata Leaf Extract, Yeast Extract, Dextrin, Hydrolyzed Adansonia Digitata Extract, Olea Europaea (Olive) Leaf Extract, Platanus Occidentalis Bark Extract, Citric Acid, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, BHT.","Melanoma, Melanoma, SCC, None (Protective)",6,79
EcoShield 45+,Post-1990,367,44.09,"Water, Butyloctyl Salicylate, Coco-Caprylate/Caprate, Glycerin, Sorbitol, Lecithin, Aloe Barbadensis Leaf Extract, Caffeine, Zea Mays (Corn) Oil, Proline, Xanthan Gum, Sodium Ascorbyl Phosphate, Rosa Moschata Seed Oil, Niacinamide, Vitis Vinifera (Grape) Callus Culture Extract, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis (Green Tea) Extract, Diatomaceous Earth, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Laminaria Digitata Extract, Tremella Fuciformis (Mushroom) Extract, Ferric Hexapeptide-35, Sesamum Indicum (Sesame) Seed Oil, Macadamia Integrifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Polysilicone-15, Sodium Hyaluronate, Dimethicone, Ceteareth-25, Cetyl Alcohol, Behenic Acid, Cholesterol, Ceramide NP, Ceramide NS, Ceramide EOS, Ceramide EOP, Ceramide AP, Caprooyl Phytosphingosine, Caprooyl Sphingosine, Caprylic/ Capric Triglyceride Teprenone, Sodium Stearoyl Glutamate, Polyester-8, Caprylhydroxamic Acid, Caprylyl Glycol, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Panthenol, Sodium Polyacrylate, Mica, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Sodium Hydroxide.",Low Risk,0,80
PureSun SPF 45,Post-1990,4417,17.28,"Polyethylene, Dimethicone, Butyrospermum Parkii (Shea) Butter, Petrolatum, Butyloctyl, Salicylate, C12-15 Alkyl Benzoate, Undecylcrylene Dimethicone, Neopentyl Glycol Diheptanoate, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Behenyl Olivate, Aluminum Hydroxide, Stearic Acid, Glyceryl Isostearate, Beeswax, Polyhydroxystearic Acid, Cetyl PEG/PPG-10/1 Dimethicone, BHT, Benzylidene Dimethoxydimethylindanone, Tetrahexyldecyl Ascorbate.",Low Risk,0,81
SkinSafe 30+,Post-1990,4074,24.04,"Alcohol, Algae Extract, Aloe Barbedensis Leaf Juice, Cucumis Sativus (Cucumber) Fruit Extract, Fragaria Vesca (Strawberry) Fruit Extract, Glycerin*, Methyl Dihydroabietate, Rubus Idaeus (Raspberry) Seed Oil*, Red Raspberry Seed Oil. *Certified Organic.",Low Risk,0,82
SkinSafe 50+,Post-1990,4036,26.17,"Dimethicone, Dimethicone Crosspolymer, Caprylic/Capric Triglyceride, Glyceryl Isostearate, Polyhydroxystearic Acid, Dimethicone/ Vinyl Dimethicone Crosspolymer, Silica, Butyloctyl Salicylate, Po lysilicone - 15, Tetrahexyldecyl Ascorbate, PEG/PPG - 18/18 Dimethicone, Triethoxycaprylylsilane, Iron Oxide, Caffeine, Niacinamide, Ubiquinone, Tocopheryl Acetate, Squalane, Camellia Sinensis (Green Tea) Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extrac t, Punica Granatum (Pomegranate) Extract.",Low Risk,0,83
SunGuard 75+,Post-1990,4690,12.39,"Octinoxate, Octisalate, Oxybenzone, Avobenzone, Ascorbic Acid, Ascorbyl Palmitate, Biotin, Camellia, Sinensis (Green Tea) Polyphenois, Caprylyl Glycol, Cetearyl Alcohol, Cetheth-20 Phosphate, Dicetyl Phosphate, Disodium EDTA, Emblica Officinalis Fruit, Ethylhexyl Benzoate, Ethylhexyl Methoxycrylene, Phenoxythanol, Phospholipids, Potassium Hydroxide, Purified Water, Resveratrol, Retinyl, Palmitate, Sorbic Acid, Tocopheryl Acetate, Ubiquione (Coenzyme Q-10).","Melanoma, SCC, BCC",12,84
TotalSun SPF 30,Post-1990,609,6.87,"Aloe Barbadensis Leaf Juice, Bentonite, Butyloctyl Salicylate, Calendula Officinalis Flower Extract, Caprylhydroxamic Acid, Caprylyl Glycol, Carthamus Tinctorius (Safflower) Seed Oil, Cetearyl Alcohol, Chamomilla Recutita (Matricaria) Flower Extract, Coco Glucoside, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Heptyl Undecylenate, Jojoba Esters, Melissa Officinalis Leaf Extract, Methyl Dihydroabietate, Nasturtium Officinale Flower/Leaf Extract, Spiraea Ulmaria Flower Extract, Water.",Low Risk,0,85
AquaBlock 75,Post-1990,4815,29.94,"Octocrylene (7%), Octinoxate(6.993%), Avobenzone (3%), Octisalate (3%), Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Cyclopentasiloxane, Isopropyl Myristate, Cocoglycerides, Fragrance, Argania Spinosa (Argan) Kernel Oil, Tocopheryl Acetate, Gardenia Tahitensis Flower Extract, Polybutene, Tocopherol, BHT.","Melanoma, Melanoma, SCC, BCC",8,86
SunGuard 75+,Post-1990,345,26.21,"Octinoxate 7.5% , Octisalate 4.5% , Titanium Dioxide 4.6% , Zinc Oxide 5.0%Water , C12-15 Alkyl Benzoate , Caprylyl Methicone , Neopentyl Glycol Diheptanoate , Sucrose , Polyglyceryl-10 Pentastearate , Pentylene Glycol , Ethylhexyl Methoxycrylene , Dimethicone , Behenyl Alcohol , Peg-100 Stearate , Hydrogenated Lecithin , Butylene Glycol , Dipentaerythrityl Tri-Polyhydroxystearate , Cucumis Sativus (Cucumber) Fruit Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Sigesbeckia Orientalis (St. Paul'S Wort) Extract , Glycerin , Caffeine , Sodium Rna , Sodium Hyaluronate , Tocopheryl Acetate , Propylene Glycol Dicaprate , Isohexadecane , Helianthus Annuus (Sunflower) Seedcake , Pvp/Hexadecene Copolymer , Isostearic Acid , Sodium Stearoyl Lactylate , Polyhydroxystearic Acid , Silica , Acrylamide/Sodium Acryloyldimethyltaurate Copolymer , Xanthan Gum , Polysorbate 80 , Dimethicone Silylate , Polyethylene , Trisodium Edta , Bht , Phenoxyethanol","Melanoma, SCC, None (Protective)",4,87
UltraShield SPF 15,Post-1990,2715,43.09,"Water, Butylene Glycol, C12-15 Alkyl Benzoate, Cyclopentasiloxane, Gluconolactone, Cetyl Alcohol, Hydrogenated Lecithin, Pentylene Glycol, Aluminum Starch Octenylsuccinate, Cyclohexasiloxane, Polyacrylamide, Bifida Ferment Lysate, Phenoxyethanol, Polysorbate 80, Bisabolol, C13-14 Isoparaffin, Sodium Benzoate, Glycerin, Sodium Hydroxide, Glycine Soja (Soybean) Oil, Choleth-24, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Ceteth-24, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Silica, Laureth-7, Iris Pallida Root Extract, Ruby Powder, Fragrance, Disodium Edta, Alcohol, Mica, Lecithin, Adenosine, Retinol, Peg-8, Polysorbate 20, Bht, Cellulose Gum, Chitosan, Ethylhexylglycerin, Glycolic Acid, Sorbitan Oleate, Calcium Gluconate, Tocopherol, Behentrimonium Chloride, Ascorbyl Palmitate, Potassium Phosphate, Camellia Sinensis Leaf Extract, Coffea Arabica (Coffee) Seed Extract, Pongamia Pinnata Seed Extract, Isopropyl Alcohol, Acetic Acid, Angelica Archangelica Root Extract, Citrus Aurantium Amara (Bitter Orange) Peel Extract, Maltodextrin, Citric Acid, Magnesium Aluminum Silicate, Xanthan Gum, Lactic Acid, Ascorbic Acid, Farnesol, Caprylyl Glycol, Sclerotium Gum, Bha, Sorbic Acid, Titanium Dioxide (Ci 77891).",None (Protective),0,88
SolarCare 100+,Post-1990,514,44.95,"Polyethylene, Isopropyl Palmitate, Polymethylsilsesquioxane, Homosalate, Octocrylene, Phenyl Trimethicone, Squalane, Butyloctyl Salicylate, Helianthus Annuus (Sunflower) Seed Wax, Ethylhexyl Salicylate, Ricinus Communis (Castor) Seed Oil, Butyl Methoxydibenzoylmethane, Phyllostachis Bambusoides Juice, Portulaca Oleracea Extract, Prunus Mume Fruit Extract, Camellia Sinensis Seed Oil, Glyceryl Caprylate, Butylene Glycol, Alcohol, Fragrance.","Melanoma, BCC",5,89
SolarCare 15+,Post-1990,4616,34.47,"Octinoxate 7.5% , Titanium Dioxide 1.5%Water , Cetyl Ethylhexanoate , Butylene Glycol , Octyldodecyl Neopentanoate , Peg-100 Stearate , Glyceryl Stearate , Glycerin , Hydrogenated Lecithin , Polyethylene , Pentylene Glycol , Silica , Citrus Reticulata (Tangerine) Peel Extract , Saccharomyces Lysate Extract , Polygonum Cuspidatum Root Extract , Algae Extract , Triticum Vulgare (Wheat) Bran Extract , Coffea Robusta Seed Extract , Astrocaryum Murumuru Seed Butter , Padina Pavonica Thallus Extract , Betula Alba (Birch) Bark Extract , Creatine , Adenosine Phosphate , Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein , Linoleic Acid , Hydrolyzed Rice Extract , Hydroxyproline , Olea Europaea (Olive) Fruit Extract , Sigesbeckia Orientalis (St. Paul'S Wort) Extract , Coleus Barbatus Extract , Acetyl Hexapeptide-8 , Sodium Dna , Caffeine , Cholesterol , Ethylhexyl Stearate , Sorbitol , Ethylhexyl Palmitate , Decarboxy Carnosine Hcl , Phytosphingosine , Propylene Glycol Dicaprate , Disodium Nadh , Caprylyl Glycol , Acrylates Copolymer , Trehalose , Sodium Rna , Cetyl Alcohol , Dipalmitoyl Hydroxyproline , Proline , Aminopropyl Ascorbyl Phosphate , Behenyl Alcohol , Methicone , Hexylene Glycol , Xanthan Gum , Sodium Hyaluronate , Potassium Hydroxide , Potassium Sulfate , Glycine , Potassium Sorbate , Aluminum Hydroxide , Lecithin , Carbomer , Disodium Edta , Phenoxyethanol","Melanoma, SCC, None (Protective)",4,90
RayBlock 45+,Post-1990,680,41.37,"Acacia Farnesiana (ORGANIC Acacia) Extract, AcrylatesCopolymer, Amaranthus Caudatus Seed Extract (ORGANIC), Camellia Sinensis LeafExtract (ORGANIC), Caprylhydroxamic Acid, Caprylyl Glycol, Carthamus Tinctorius(Safflower) Oleosomes, Cirtus Aurantium Dulcis (ORGANIC Orange) Fruit Water,Dicaprylyl Carbonate, Euterpe Oleracea (ORGANIC Acai) Fruit Oil, Flavor, FragariaVesca (ORGANIC Strawberry) Fruit Extract, Glycerin (ORGANIC), Helianthus Annuus(ORGANIC Sunflower) Seed Extract, 1,2-Hexanediol, Linum Usitatissimum (ORGANICLinseed) Seed Oil, Oenothera Biennis (ORGANIC Evening Primrose) Oil, PlanktonExtract, Salvia Hispanica (ORGANIC Chia) Seed Oil, Trisodium EthylenediamineDisuccinate, Water, Xanthan Gum.",Low Risk,0,91
PureSun SPF 100,Post-1990,2954,17.88,Visit the DERMAFLASH boutique,Low Risk,0,92
UltraShield SPF 15,Post-1990,1384,9.29,"Water, Butyloctyl Salicylate, Coco-Caprylate/Caprate, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Diheptyl Succinate, Polyglyceryl-6 Distearate, Propanediol, Jojoba Esters, Glycerin, Pyrus Malus (Apple) Fruit Extract, Polysorbate 20, Polyhydroxystearic Acid, Polymethylsilsesquioxane, Potassium Cetyl Phosphate, Phenoxyethanol, Alumina, Diethylhexyl Syringylidenemalonate, Xanthan Gum, Tocopherols, Glycine Soja (Soybean) Oil, Capryloyl Glycerin/Sebacic Acid Copolymer, Citric Acid, Triethoxycaprylylsilane, Lonicera Caprifolium (Honeysuckle) Flower Extract, Trisodium Ethylenediamine Disuccinate, Chlorphenesin, Fragrance/Parfum, Stearic Acid, Ethylhexylglycerin, Passiflora Edulis Seed Oil, Lonicera Japonica (Honeysuckle) Flower Extract, Algae Extract, Pseudoalteromonas Exopolysaccharides, Sodium Hyaluronate, Sodium Salicylate, Propylene Glycol, Sodium Dehydroacetate.",Low Risk,0,93
SunGuard 30+,Post-1990,772,35.88,"Water, Ethyl Macadamiate, Cyclopentasiloxane, Ethylhexyl Palmitate, Propanediol, C12-15 Alkyl Benzoate, Polysorbate 80, Glyceryl Stearate, Peg-100 Stearate, Echinacea Purpurea Root Extract, Aronia Melanocarpa Fruit Extract, Hydrolyzed Verbascum Thapsus Flower, Tagetes Erecta Flower Extract, Alteromonas Ferment Extract, 7-Dehydrocholesterol, Zea Mays (Corn) Oil, Helianthus Annuus (Sunflower) Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil, Malic Acid, Tocopherol, Myristic Acid, Cetyl Alcohol, Glycerin, Hydrogenated Lecithin, Panthenol, Stearic Acid, Polyglyceryl-6 Isostearate, Microcrystalline Cellulose, Alumina, Behenic Acid, Stearyl Alcohol, Caprylyl, Methicone, Dimethicone, Cyclohexasiloxane, Isohexadecane, Triethoxysilylethyl, Polydimethylsiloxyethyl Hexyl Dimethicone, Lauryl PEG-9 Polydimethylsiloxyethyl, Dimethicone, 1,2-Hexanediol, Behenyl Alcohol, Triethoxycaprylylsilane, Polyhydroxystearic Acid, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cellulose Gum, Sorbitan Oleate, Butylene Glycol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Sodium Citrate, Citric Acid, Sodium Phytate.",Low Risk,0,94
UltraShield SPF 100,Post-1990,4445,47.88,"Aloe Barbadensis Leaf Juice (ORGANIC), Anthemis Nobilis (Chamomile) Flower Extract, Butyloctyl Salicylate, Carthamus Tinctorius (ORGANIC Safflower) Seed Oil, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Extract Dicaprylyl Carbonate, Ecklonia Kurome Extract, Ethylhexylglycerin, Gluconolactone, Glycerine, Glycerin (ORGANIC), Glyceryl Stearate, Jasminum Sambac Leaf Cell Extract, Marrubium Vulgare Extract, Melanin, Nylon-12, Olea Europaea (ORGANIC Olive) Fruit Oil, Plankton Extract, Polygonum Aviculare Extract, Simmondsia Chinensis (ORGANIC Jojoba) Seed Oil, Sodium Hyaluronate, Sodium Benzoate, Stearic Acid, Tocopherol, Water (Aqua), Xanthan Gum.",Low Risk,0,95
UV Defense SPF 15,Post-1990,1724,27.76,"Water, Dimethicone, Sd Alcohol 40-B, Isohexadecane, Butylene Glycol, Isopropyl Myristate, Methyl Methacrylate Crosspolymer, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Xylitol, Glycerin, Polybutylene Glycol/Ppg-9/1 Copolymer,Isododecane,Trimethylsiloxysilicate, Disteardimonium Hectorite, Peg-6, Dextrin Palmitate, Peg-32, Peg/Ppg-14/7 Dimethyl Ether, Saxifraga Sarmentosa Extract, Scutellaria Baicalensis Root Extract, Ononis Spinosa Root Extract, Ectoin, Sophora Angustifolia Root Extract, Silica, Hydrogen Dimethicone, Carboxydecyl Trisiloxane, Aluminum Hydroxide, Stearic Acid, Trisodium Edta, Polymethylsilsesquioxane, Talc, Alcohol, Bht, Syzygium Jambos Leaf Extract, Tocopherol, Phenoxyethanol, Fragrance.",Low Risk,0,96
TotalSun SPF 60,Post-1990,2947,7.55,"Phyllostachis Bambusoides Juice, Methyl Trimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Butylene Glycol, Ethylhexyl Methoxycinnamate, Glycerin, C12-15 Alkyl Benzoate, Bis- Hydroxyethoxypropyl Dimethicone, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Alcohol, Disteardimonium Hectorite, Polymethyl Methacrylate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Trihydroxystearin, Peg-10 Dimethicone, Panax Ginseng Root Extract, Sodium Chloride, Sorbitan Isostearate, Aluminum Stearate, Phenoxyethanol, Polyhydroxystearic Acid, Alumina, Laminaria Ochroleuca Extract, Talc, Aluminum Hydroxide, Triethoxycaprylylsilane, Disodium Edta, Ethylhexylglycerin, Zingiber Officinale (Ginger) Root Extract, Camellia Sinensis Leaf Extract, Water, Tricholoma Matsutake Extract, Kaempferol, Acrylates/Tridecyl Acrylate/Triethoxysilylpropyl Methacrylate/Dimethicone Methacrylate Copolymer, Propylene Glycol, Zinc Gluconate, Magnesium Aspartate, Hydrogenated Lecithin, Peg-5 Rapeseed Sterol, Hydrolyzed Ginseng Saponins, Copper Gluconate, Calcium Gluconate, Fragrance, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).",None (Protective),0,97
SkinSafe 100+,Post-1990,4823,20.16,"Water, Propylene Glycol, Glyceryl Stearate, Peg-100 Stearate, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Palmitic Acid, Phenoxyethanol, Stearic Acid, Triethanolamine, Bentonite, Carbomer, Dimethicone, Allantoin, Peg-8 Dimethicone, Aloe Barbadensis Leaf Juice, Cetyl Alcohol, Panthenol, Aluminum Starch Octenylsuccinate, Tetrasodium Edta, Myristic Acid, Potassium Sorbate, Sodium Benzoate, Arachidic Acid, Lauric Acid, Ascorbic Acid, Octyldodecanol, Retinyl Palmitate, Silica, Sodium Propoxyhydroxypropyl Thiosulfate Silica, Tocopheryl Acetate, Ceramide Np, Butylene Glycol, Ginkgo Biloba Leaf Extract, Butyl Acetate.",Low Risk,0,98
SkinSafe 75+,Post-1990,1562,27.18,"Silica, Aluminum Hydroxide, Stearic Acid,Polymethylsilsesquioxane, Triethoxycaprylylsilane, Retinyl Palmitate (Vitamin A), Tocopheryl Acetate (Vitamin E), Ascorbyl Palmitate (Vitamin C), Salix Alba (Willow) Bark Extract, Water, Butylene Glycol, Chlorphenesin, Potassium Sorbate, Tetrasodium EDTA.",Low Risk,0,99
RayBlock 50+,Post-1990,3497,17.41,"Purified Water, Cyclomethicone, Isostearyl Neopentanoate, Glycerin, Ceteareth–20, Polypropylene, Cetearyl Alcohol, Xanthan Gum, d-Panthenol, Octanohydroxamic acid, Caprylyl Glycol, Silica, Triacontanyl PVP, Cetyl Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, PEG-40 Stearate, Tocopherol, Disodium EDTA, Pentylene Glycol, Panthenyl Triacetate, Sodium Lactate, Lactic Acid, Serine, Urea, Sorbitol, Sodium Chloride, Allantoin, Oleyl Alcohol, Ethyl Linoleate.",Low Risk,0,100
TotalSun SPF 15,Post-1990,147,25.21,"Water, Cyclopentasiloxane, Dimethicone, Butylene Glycol, Diphenylsiloxy Phenyl Trimethicone, Glycerin, Dimethicone/Peg-10/15 Crosspolymer, Peg-9 Polydimethylsiloxyethyl Dimethicone, Acrylates/Dimethicone Copolymer, Mica, Phenoxyethanol, Magnesium Sulfate, Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Hydroxyethylcellulose, Saccharomyces Lysate Extract, Lauroyl Lysine, Chlorphenesin, Disodium Edta, Propanediol, Aluminum Dimyristate, Triethoxycaprylylsilane, Enantia Chlorantha Bark Extract, Disodium Stearoyl Glutamate, Dipropylene Glycol, Sodium Nitrate, Evodia Rutaecarpa Fruit Extract, Tocopherol, Bht, Oleanolic Acid, [May Contain/Peut Contenir/+/-:Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499)].",None (Protective),0,101
PureSun SPF 50,Post-1990,2255,46.95,"Water, Carthamus Tinctorius (Safflower) Oleosomes, Butylene Glycol, Glycerin, C12-15 Alkyl Benzoate, Methyl Gluceth-20, Glycolic Acid, Polyacrylamide, Cyclopentasiloxane, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Hydrogenated Lecithin, Cyclohexasiloxane, Phenoxyethanol, Sodium Hydroxide, C13-14 Isoparaffin, Cetyl Alcohol, Polysorbate 80, Laureth-7, Citric Acid, Fragrance, Bismuth Oxychloride, Mandelic Acid, Tocopheryl Acetate, Disodium EDTA, Synthetic Fluorphlogopite, Ethylhexyl Palmitate, Propanediol, Gluconic Acid, Adenosine, Sodium Benzoate, Bht, Evodia Rutaecarpa Fruit Extract, Sodium Bicarbonate, Yeast Extract, Magnesium Stearate, Opuntia Coccinellifera Flower Extract, Silica Dimethyl Silylate, Caprylyl Glycol, Ethylhexylglycerin, Hyaluronic Acid,Silanetriol, Sodium Hyaluronate, Sorbic Acid, Hexylene Glycol.",Low Risk,0,102
